Metabolite_physical,Weight_physical,Direction_physical,Rank_physical,Stability_physical,AbsWeight_physical
21171,-0.014340001,Negative,1302,1,0.014340001
24950,-0.014331273,Negative,1303,1,0.014331273
25158,-0.014318571,Negative,1304,1,0.014318571
31733,-0.014316645,Negative,1305,1,0.014316645
79386,0.014310963,Positive,1306,1,0.014310963
76563,0.014307658,Positive,1307,1,0.014307658
73802,0.014306638,Positive,1308,1,0.014306638
52243,0.014304691,Positive,1309,1,0.014304691
65895,-0.014304289,Negative,1310,1,0.014304289
23874,-0.014288298,Negative,1311,1,0.014288298
57971,0.014281293,Positive,1312,1,0.014281293
53526,0.014276159,Positive,1313,0.9,0.014276159
27424,-0.014275801,Negative,1314,1,0.014275801
20326,-0.014269696,Negative,1315,1,0.014269696
69984,-0.014262549,Negative,1316,0.9,0.014262549
45361,0.014252279,Positive,1317,1,0.014252279
24493,-0.014246522,Negative,1318,1,0.014246522
34808,-0.014242335,Negative,1319,1,0.014242335
25494,0.014238094,Positive,1320,1,0.014238094
76815,0.014234822,Positive,1321,1,0.014234822
41217,-0.014234406,Negative,1322,1,0.014234406
84605,0.014208274,Positive,1323,1,0.014208274
99630,-0.01420156,Negative,1324,1,0.01420156
13647,-0.014200434,Negative,1325,0.9,0.014200434
33893,0.01419638,Positive,1326,1,0.01419638
95718,-0.014194129,Negative,1327,0.9,0.014194129
29972,-0.014193368,Negative,1328,1,0.014193368
4200,-0.014166751,Negative,1329,1,0.014166751
86515,0.014153632,Positive,1330,1,0.014153632
11383,-0.014145604,Negative,1331,0.9,0.014145604
75856,0.014144248,Positive,1332,0.9,0.014144248
92336,0.014107295,Positive,1333,1,0.014107295
21284,-0.014104406,Negative,1334,1,0.014104406
30001,-0.014102972,Negative,1335,1,0.014102972
80270,0.014101977,Positive,1336,0.9,0.014101977
34981,-0.014092714,Negative,1337,1,0.014092714
30763,0.014085446,Positive,1338,0.9,0.014085446
98830,-0.014079275,Negative,1339,0.9,0.014079275
59991,-0.014065932,Negative,1340,1,0.014065932
14454,0.01405681,Positive,1341,0.9,0.01405681
63228,-0.01405518,Negative,1342,1,0.01405518
28253,-0.014054991,Negative,1343,1,0.014054991
16771,-0.01404927,Negative,1344,0.9,0.01404927
68763,0.01403912,Positive,1345,1,0.01403912
10360,-0.014020024,Negative,1346,0.9,0.014020024
29312,0.014019459,Positive,1347,1,0.014019459
5074,-0.014017441,Negative,1348,1,0.014017441
86111,0.014004233,Positive,1349,1,0.014004233
54277,-0.013949643,Negative,1350,1,0.013949643
102964,-0.013942313,Negative,1351,1,0.013942313
79423,0.013941849,Positive,1352,1,0.013941849
62101,0.013920509,Positive,1353,1,0.013920509
69070,0.013912325,Positive,1354,1,0.013912325
62901,0.013887389,Positive,1355,1,0.013887389
51012,-0.013875207,Negative,1356,1,0.013875207
50056,-0.013838289,Negative,1357,1,0.013838289
50705,-0.013832396,Negative,1358,1,0.013832396
76557,0.013825706,Positive,1359,1,0.013825706
32865,0.013821032,Positive,1360,1,0.013821032
113539,-0.013796464,Negative,1361,0.9,0.013796464
31190,-0.013795042,Negative,1362,1,0.013795042
79683,0.013768907,Positive,1363,1,0.013768907
68786,0.013768492,Positive,1364,1,0.013768492
33731,-0.013759187,Negative,1365,1,0.013759187
88076,0.013758408,Positive,1366,1,0.013758408
13105,0.013740926,Positive,1367,1,0.013740926
14287,0.013730332,Positive,1368,0.9,0.013730332
9200,-0.01370119,Negative,1369,1,0.01370119
44159,-0.013696407,Negative,1370,0.9,0.013696407
79342,0.013690357,Positive,1371,0.9,0.013690357
55769,-0.013687452,Negative,1372,1,0.013687452
140770,0.013681715,Positive,1373,1,0.013681715
19550,0.013677245,Positive,1374,1,0.013677245
73398,-0.013655256,Negative,1375,0.9,0.013655256
80725,0.013602888,Positive,1376,1,0.013602888
93618,0.013589912,Positive,1377,1,0.013589912
32892,-0.013565719,Negative,1378,1,0.013565719
7783,-0.013557619,Negative,1379,1,0.013557619
82784,0.013553588,Positive,1380,0.9,0.013553588
23474,0.013551062,Positive,1381,0.8,0.013551062
18079,0.013547579,Positive,1382,0.9,0.013547579
61673,-0.013528844,Negative,1383,1,0.013528844
50582,-0.01351813,Negative,1384,1,0.01351813
