"Metabolite","Weight","Direction","Rank","Stability"
"88119",0.0311679443184387,"Positive",261,1
"24720",-0.0311106254138508,"Negative",262,1
"6764",-0.0310639673118044,"Negative",263,1
"68942",0.0310392772840585,"Positive",264,1
"91982",0.0310205271513988,"Positive",265,1
"36131",-0.0310098310503376,"Negative",266,1
"85674",0.0309787804284154,"Positive",267,1
"70654",-0.0309594713110193,"Negative",268,1
"31444",-0.0308764253857654,"Negative",269,1
"86905",0.0308743460950256,"Positive",270,1
"135783",0.0308437723094614,"Positive",271,1
"30484",-0.0308238746204041,"Negative",272,1
"69063",0.0308082122613562,"Positive",273,1
"85418",0.0307881629010587,"Positive",274,1
"17378",0.0307727106089384,"Positive",275,0.9
"78297",0.0307564338665829,"Positive",276,1
"32208",-0.0307112988090149,"Negative",277,1
"23143",-0.0306859581782085,"Negative",278,1
"22772",-0.0306663329275707,"Negative",279,1
"24465",-0.0306367638691957,"Negative",280,1
"16705",-0.0306332217990599,"Negative",281,1
"27847",-0.0306291207895051,"Negative",282,1
"46172",0.030624895623886,"Positive",283,1
"19306",-0.0306065284394674,"Negative",284,1
"69260",0.0305508603404532,"Positive",285,1
"49534",0.0305116474647748,"Positive",286,1
"46187",0.0304836186700344,"Positive",287,1
"71481",0.0304295426029255,"Positive",288,1
"31719",-0.0304011158662247,"Negative",289,1
"27374",-0.0303897336382068,"Negative",290,1
"43303",0.0303529526438215,"Positive",291,1
"88774",0.0303427306538887,"Positive",292,1
"23813",-0.0303368250147008,"Negative",293,1
"83885",0.0303319017674114,"Positive",294,1
"5938",-0.0303198959804041,"Negative",295,1
"83609",0.0303055103919739,"Positive",296,1
"43001",0.030302639355901,"Positive",297,1
"45453",0.0302696559667099,"Positive",298,1
"60265",0.030263301052302,"Positive",299,1
"30055",-0.0302383257367717,"Negative",300,1
"35043",0.0301760805816038,"Positive",301,1
"33497",-0.0301675035340563,"Negative",302,1
"31237",-0.0301321456804352,"Negative",303,1
"15018",0.030130388323535,"Positive",304,1
"137685",-0.0301079037783899,"Negative",305,1
"28388",-0.0300304257236834,"Negative",306,1
"90073",0.02999566971093,"Positive",307,1
"68930",0.0299927082016741,"Positive",308,1
"112707",0.0299846716261844,"Positive",309,1
"7597",-0.0299497330906788,"Negative",310,1
"76800",0.0299456829507223,"Positive",311,1
"32252",-0.0299383367054856,"Negative",312,1
"18774",-0.0299341905670261,"Negative",313,1
"88687",0.0299336460870059,"Positive",314,1
"26540",-0.0298770345192236,"Negative",315,1
"91552",0.0298559086111559,"Positive",316,1
"87243",0.0298442869598692,"Positive",317,1
"106172",0.0298330913507755,"Positive",318,1
"56388",-0.0297951785553081,"Negative",319,1
"20389",-0.0297864512059453,"Negative",320,1
"5450",-0.0297457764221191,"Negative",321,1
"72042",0.0297429524503897,"Positive",322,1
"32475",-0.0297179892161679,"Negative",323,1
"9913",-0.0297170310716807,"Negative",324,1
"85943",0.0297106546019318,"Positive",325,1
"89448",0.0297051561915909,"Positive",326,1
"20799",-0.029672322389936,"Negative",327,1
"26818",-0.0296665023346726,"Negative",328,1
"22304",-0.029636886099533,"Negative",329,1
"80655",0.0296132840269309,"Positive",330,1
"84354",0.0295987507023506,"Positive",331,1
"126405",0.0295800687487199,"Positive",332,1
"23022",-0.0295379942917594,"Negative",333,1
"66650",-0.0295058483284563,"Negative",334,1
"21131",-0.0294588168091164,"Negative",335,1
"76735",0.0294151135640453,"Positive",336,1
"82283",0.029414892418608,"Positive",337,1
"11948",0.0293853600896016,"Positive",338,1
"12069",-0.0293339952608281,"Negative",339,1
"9587",-0.0293053325163876,"Negative",340,1
"61288",-0.0292894724270007,"Negative",341,1
"15609",-0.0292479830614855,"Negative",342,1
"91009",0.0292451354614376,"Positive",343,1
"42850",-0.0292427216022847,"Negative",344,1
"81221",0.029240538941288,"Positive",345,1
"11113",-0.0292242035017759,"Negative",346,1
"22656",-0.0292195338196592,"Negative",347,1
"17696",0.0292176141543499,"Positive",348,1
"68861",0.0292161653954892,"Positive",349,1
"34802",-0.0292004396613986,"Negative",350,1
"83519",0.0291977179593038,"Positive",351,1
"22671",-0.0291771504090373,"Negative",352,1
"56618",0.0291547685869485,"Positive",353,1
"47013",-0.0291141752324982,"Negative",354,1
"47103",0.0291004169249126,"Positive",355,1
"4388",-0.0290766761208765,"Negative",356,1
"53393",0.029027925962244,"Positive",357,1
"46147",0.0290230903840169,"Positive",358,1
"43215",0.0290061019056703,"Positive",359,1
"26073",-0.0290037257331166,"Negative",360,1
"96798",-0.0289998893827895,"Negative",361,1
"28989",-0.0289979354243979,"Negative",362,1
"76809",0.0289596557813093,"Positive",363,1
"6269",-0.0289584684631252,"Negative",364,1
"41128",0.0289074045653663,"Positive",365,1
"68992",0.0288867191854424,"Positive",366,1
"68987",0.0288699833064623,"Positive",367,1
"56029",-0.0288312126381972,"Negative",368,1
"35276",-0.028820106112815,"Negative",369,1
"25409",-0.0288098455332466,"Negative",370,1
"57489",-0.0288065682486539,"Negative",371,1
"115376",0.028802827026011,"Positive",372,1
"52312",0.0288013281384763,"Positive",373,1
"35998",-0.0286874672153928,"Negative",374,1
"22728",-0.0286633180525769,"Negative",375,1
"17713",-0.0286197941836522,"Negative",376,1
"88716",0.0285869171473951,"Positive",377,1
"11572",-0.0285149970777524,"Negative",378,1
"49218",0.0284640666928483,"Positive",379,1
"15200",0.0283825714154004,"Positive",380,1
"85843",0.0283787776735014,"Positive",381,1
"6119",-0.0283720698654015,"Negative",382,1
"91103",0.0283712011288493,"Positive",383,1
"61815",0.0283675506640114,"Positive",384,1
"89365",0.0283571569714375,"Positive",385,1
"36947",-0.0283510343410152,"Negative",386,1
"89364",0.0283347163569151,"Positive",387,1
"51149",-0.0283210188991746,"Negative",388,1
"99118",0.0282691858555054,"Positive",389,1
"37950",0.0281738825916424,"Positive",390,1
"14918",0.0281293204804888,"Positive",391,1
"86413",0.0281138368484788,"Positive",392,1
"85363",0.0280886664629513,"Positive",393,1
"28408",-0.0280846433303602,"Negative",394,1
"32351",-0.0280613718802362,"Negative",395,1
"14947",-0.028060224312783,"Negative",396,1
"23746",-0.028058797112751,"Negative",397,1
"34789",-0.0280307451565094,"Negative",398,1
"70308",0.0280284912045975,"Positive",399,1
"28174",-0.0280150417464401,"Negative",400,1
"75458",0.0279945370485184,"Positive",401,1
"56279",-0.027987306682511,"Negative",402,1
"8200",0.0279710112818778,"Positive",403,1
"86900",0.0279642449940731,"Positive",404,1
"84851",0.0279514476347941,"Positive",405,1
"40769",0.0279467992659368,"Positive",406,1
"67678",-0.0279072758744805,"Negative",407,1
"14857",-0.02788828094806,"Negative",408,1
"14924",-0.0278701955138239,"Negative",409,1
"30037",-0.0278509823579862,"Negative",410,1
"7251",-0.0278424512471324,"Negative",411,1
"68968",0.027834181599988,"Positive",412,1
"44632",0.0278273047806347,"Positive",413,1
"43506",-0.0278110825169854,"Negative",414,1
"9454",-0.027808377265118,"Negative",415,1
"41442",0.0277689852930958,"Positive",416,1
"50347",0.0277633291896573,"Positive",417,1
"45687",0.0277458095832538,"Positive",418,1
"87931",0.0277366509435207,"Positive",419,1
